Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Flint YMCA Foundation,0,411 E 3RD ST FLINT   MI 48503 ,38-3260315,NA,WWW.FLINTYMCA.ORG/FOUNDATION.ASP,810-232-9622,Human Service,In 1879 some interested citizens started ???Y??? programs in Flint. On December 16  1913 the Kearsley Street building was opened. The total cost was $111 426. C.S. Mott was elected the first Board President. It was the culmination of the most successful and greatest community efforts in the history of Flint ??? greatest because never before was so much money raised in Flint for a single organization.,The YMCA is more than a fitness and program facility. It is a place where families can spend quality time together  where children can learn caring  respect  honesty  and responsibility  and a place where strong kids  strong families  and strong communities are built.,NA,Photo save,5219 W. Pierson Road Flushing  MI 48433,810-732-9622,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FlintYMCA/,YMCA Swim-A-Thon  Wednesday  March 14 at 5 AM - 10 PM EDT  YMCA of Greater Flint,NA,NA,03/12/2018,
W I S E Crisis Hotline Inc,0,713 OSCEOLA AVE BIG RAPIDS  MI 49307 ,38-2536680,NA,WWW.WISEAGAINSTVIOLENCE.ORG,231-796-6692,Human Service,Women???s Information Service Inc. (WISE) is a nonprofit serving Mecosta  Osceola and Newaygo Counties by providing crisis intervention and support services to survivors of domestic and sexual violence.,WISE PROVIDES ADVOCATY  SAFETY OPTIONS AND SUPPORT SERVICES TO SURVIVORS OF DOMESTIC VIOLENCE AND ADULT SEXUAL ASSAULT. WISE EMPOWERS INDIVIDUALS AND FAMILIES THROUGH RESPECT AND EQUALITY AND WORKS TOWARDS STRENGTHENING OUR COMMUNITIES THROUGH AWARENESS  PREVENTION  AND EDUCATION.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/wiseagainstviolence/about/?ref=page_internal,Save the Date ??? Golf Outing 2018  July 18  2018 at Spring Valley Golf Course in Reed City.,NA,NA,03/12/2018,
Love Inc of Allendale,0,PO BOX 131 ALLENDALE  MI 49401 ,38-2623774,info@allendalelove.org,WWW.ALLENDALELOVE.ORG,616-895-5683,Human Service,Love In the Name of Christ of Allendale is a network of Allendale  Coopersville  and Surrounding area churches helping local residents in need. We are the link between churches  service agencies and local individuals or families to assist with meeting financial  physical  emotional or spiritual needs. We continue to work with local churches  schools and local service organizations to address needs  fill gaps and help people who are struggling financially  emotionally or spiritually. ,Love INC of Allendale has many ministries to help people in need including: medical equipment library  baby and food pantry  transportation  clothing  counseling  work search and addiction help  as well as bedding and a furniture ministry. Another ministry is the New to You Store that offers clothing  furniture and other household items at a very low cost while providing revenue for the ministry.,NA,Photo save,6633 Lake Michigan Drive,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/AllendaleLoveINC?ref=hl,Love INC of Allendale does not have any upcoming events.,NA,NA,03/12/2018,
Play Learn & Grow Inc,0,311 GERMANIA BAY CITY  MI 48706 ,47-1548274,NA,www.riversedgelearningtree.com,989-324-0525,Human Service,High quality child care and preschool services for children 2 weeks old to 12 years old,TO PROVIDE QUALITY CHILD CARE AND PRESCHOOL SERVICES TO THE COMMUNITY.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/riversedgelearningtree/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Japan Business Society of Detroit,0,42400 GRAND RIVER AVE STE 202 NOVI  MI 48375 ,38-2065682,jbsdmich@jbsd.org,WWW.JBSD.ORG,248-513-6354,Human Service,Non profit organization,TO PROVIDE SERVICES AND SUPPORT TO THE CORPORATIONS MEMBERS AND OTHERS IN THE BUSINESS AND SURROUNDING LOCAL COMMUNITIES  AND TO SUPPORT AND PROVIDE NETWORKING AND EDUCATIONAL OPPORTUNITIES WITHIN THESE COMMUNITIES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
International Institute of Metropolitan Detroit Inc,0,111 East Kirby Street Detroit  MI 48202 USA,38-1358200,wojciech517@yahoo.com,www.iimd.org,313-871-8600,Human Service,The International Institute was founded in 1919  by a group of YWCA volunteers  who wanted to assist new legal immigrants to become U.S. citizens  learn English  learn the American way of life  appreciate freedom and democracy  find housing and jobs  and make a positive contribution to their new communities. It was also a goal to preserve the culture and heritage of the native countries - the language  food  music  costumes  literature  art  and crafts  and to share this culture and heritage with the Metro Detroit community.,The International Institute is dedicated to working with foreign-born and with all Americans in the constant task of solving social problems  acculturation  education and acceptance. It provides and utilizes human and physical resources to advance the welfare and the integration of the foreign-born and their relatives; foster community awareness that varied cultures contribute to the richness of American life; and serve other organizations in the areas of its competence.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/iimdetroit/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Cc Advising Inc,0,703 WASHINGTON AVE STE 200 BAY CITY  MI 48708 ,27-4608416,support@ccadvising.com,WWW.CCADVISING.COM,989-402-5161,Human Service,CC Advising is a nonprofit credit counseling agency and we also provide the 1st pre-filing course to individuals who may be seeking to file for bankruptcy.,ORGANIZED FOR CHARITABLE PURPOSES TO PROVIDE PROFESSIONAL CREDIT COUNSELING TO PEOPLE NEEDING ASSISTANCE IN THE MANAGEMENT OF THEIR PERSONAL FINANCES  BUDGETING  AND IN THE SENSIBLE USE OF CREDIT.,NA,Photo save,NA,855-980-6690,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ccadvising/about/,NA,NA,NA,03/12/2018,
Arc Muskegonm,0,601 TERRACE ST MUSKEGON  MI 49440 ,38-1586705,NA,WWW.ARCMUSKEGON.ORG,231-777-2006,Human Service,The Arc is and always has been about people ??? people with intellectual and developmental disabilities  parents  friends  family and professionals. In 1952  a group of concerned families and their friends formed an organization they called  ???Family and Friends of the Mentally Retarded???. In 1953 they joined the National Association for Retarded Citizens and became a local chapter. This movement grew and is now known as The Arc  no longer an acronym by eliminating the word ???Retarded???. The Arc Muskegon continues to be proudly affiliated with the state and national organization. There are 780 local chapters  with 34 of them in the state of Michigan.,THE ARC MUSKEGON S MISSION IS TO PROVIDE ADVOCACY  EDUCATION AND SUPPORT SERVICES TO PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES AND THEIR FAMILIES AND ACT IVELY SUPPORT THEIR FULL INCLUSION  EQUALITY AND PARTICIPATION IN THEIR COMMUNITY THROUGHOUT THEIR LIVES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/arc.muskegon.9,March Community Calendar  March 1 @ 8:00 am - March 31 @ 5:00 pm  ,Self-Advocacy Conference  April 19 @ 9:00 am - 2:30 pm,25th Annual Arc Open Golf Event!  June 1 @ 8:00 am - 1:30 pm,03/12/2018,
Community Action Network,0,PO Box 130076 Ann Arbor  MI 48113 ,38-2792610,canetwork@juno.com,www.canannarbor.org,734-994-2985,Human Service,CAN offers educational opportunities to children and youth  supportive housing stabilization services for adults and families  and positive community building activities for neighborhoods. CAN operates four community centers and currently works with individuals and households living in 365 public housing units managed by the Ann Arbor Housing Commission and an additional 265 households in the Bryant Neighborhood.,Community Action Network partners with children  youth and families from under-resourced Washtenaw County neighborhoods to create better futures for themselves and to improve the communities in which they live.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/canannarbor,Community Action Network (CAN) of Ann Arbor does not have any upcoming events.,NA,NA,03/12/2018,
Thrift Shop Association of Ann Arbor,0,3500 WASHTENAW AVENUE ROOM K ANN ARBOR  MI 48104 ,38-6099708,NA,www.annarborthriftshop.org,734-662-6771,Human Service,We are a non-profit 501c3 organization  run entirely by volunteer-members  operating continuously since 1932.,We provide emergency social service aid through the sale of donated gently used clothing  housewares and other items. Our 300-plus members accept  sort  price and sell thousands of donated goods in our retail shop each month.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/annarborthriftshop/,Ann Arbor Thrift Shop does not have any upcoming events.,NA,NA,03/12/2018,
Northwest Michigan Supportive Housing,0,250 E FRONT ST STE 320 TRAVERSE CITY   MI 49684 ,38-2807457,contact@nmshousing.org,WWW.NMSHOUSING.ORG,231-929-1309,Human Service,Northwest Michigan Supportive Housing ??? NMSH (Originally the Foundation for Mental Health) was founded in 1987 by individuals who recognized a need for permanent  stable  supportive housing in the mental health community in the Grand Traverse Area. Since then  NMSH has grown exponentially and now serves over 80 clients  and is awarded 7 federal and state grant contracts annually to house individuals with mental illness. ,NMSH uses a scattered-site method to successfully house roughly 80 clients within a 5-county area (Grand Traverse  Leelanau  Benzie  Antrim and Kalkaska). With the assistance of state and federal subsidies from the U.S. Department of Housing and Urban Development (HUD) and the Michigan State Housing Development Authority (MSHDA)  NMSH has operated since 1987 and is the largest provider of supportive housing in Northwest Michigan.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/nmshousing/,Drive for Dignity Golf Outing 2018  Saturday  June 2 at 10 AM - 6 PM EDT  250 E Front St  Ste 320  Traverse City  Michigan 49684,NA,NA,03/12/2018,
Chaldean American Ladies of Charity,0,2033 Austin Dr Troy  MI 48083 USA,38-2336363,zasmar@calconline.org,www.calconline.org,248-528-0130,Human Service,The Chaldean people of today are descendants of the ancient Babylonian civilization. These Ancient Babylonians were the rst civilization to: invent the wheel; discover how to make glass; discover astronomy; use a writing system; invent the yearly calendar  composed of 360 days and 12 months; and use weights and measures  which were standardized in Babylon around 2 500 B.C. Chaldeans speak a dialect of Aramaic  the language spoken by Jesus Christ and the oldest continuously spoken language in the world. Chaldeans are Eastern Rite Catholic and united with the Roman Catholic Church.,CALC has grown from an all volunteer agency into a large organization providing a vast array of services and programs through a quali ed staff  board  members and volunteers. In 2016  the Board adopted the expanded name of UNITED COMMUNITY FAMILY SERVICES to better deliver the message of an organization supporting the community and families in the tri-county area. UCFS moved into its own facility in 2014 and worked to renovate the site to provide administrative of ces  training space and a large Basic Needs Center and Food Panty to support the needs of its clients. UCFS continues to move forward supporting refugee and immigrant families  the poor and homeless as it provides critical services to ensure self-suf ciency  healthy life styles and continued growth of the vulnerable and underserved.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ucfamilyservices/,United Community Family Services/CALC does not have any upcoming events.,NA,NA,03/12/2018,
Monroe Senior Citizens Center Inc,0,15275 S DIXIE HWY MONROE  MI 48161 ,38-1679755,NA,WWW.MONROECTR.ORG,734-241-0404,Human Service,The Monroe Center is funded in part by the Monroe County Senior Millage and is in the top 1% in the country by being Nationally Accredited by the National Institute of Senior Centers and the National Council on Aging!,At the Monroe Center  our mission is to lead in information and assistance for quality lifestyles and healthy aging! We truly believe in the involvement of mind  body  and spirit in life to remain vital and independent. We will continue to offer the support programs and information to assist you in any way we can.,Various volunteer opportunities are available: Assistance with special events  Bingo workers  Database input  Dining room assistance  Friendly visits or sunshine calls  Front Desk help  Greeter  Newsletter assembly  Quarterly Rummage & Bake  Sale  Set-Up  Clean-Up  Volunteer transportatios,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Monroe-MI/Monroe-Center-for-Healthy-Aging/338900654681,Food Commodities  19th March 2018  9:00 Movin??? & Groovin??? ,Food Commodities  19th March 2018  10:00 Massages with Jean W.,Food Commodities  19th March 2018  10:00 Brain Aerobics ,03/12/2018,
Alcona County Commission On Aging,0,PO BOX 218 LINCOLN  MI 48742 ,38-2028913,NA,WWW.ALCONASENIORS.COM,989-736-8879,Human Service,For over twenty-five (25) years Crusecom call center has been servicing our clients with technologically advanced solutions exceeding their expectations and requirements. Operating under the philosophy that rural Michigan has the skills necessary to provide superior customer service at a more cost effective rate  Crusecom has grown from a handful of eager technicians to a leader in Michigan???s call center industry. Perhaps the most profound achievement Crusecom has made over the last decade hasn???t come in the form of financial success  but rather in seeing the realization of the benefits of a jobs initiative that began in 2002 with Crusecom???s relocation to Oscoda Michigan.,Crusecom strives to always exceed our clients??? expectations and requirements. As a call center service provider  we understand that our business is predicated upon the experience each caller has with each customer service representative.   By combining the industry???s most technologically advanced call handling systems with a skilled workforce  we are able to deploy quality customer care. Our goal is not only to ensure our clients remain profitable  but to create an experience with each caller that leaves them feeling satisfied.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Crusecom,NA,NA,NA,03/12/2018,
Midwest Afc Homes,0,21880 FARMINGTON RD FARMINGTON  MI 48336 ,11-3812004,NA,NA,NA,Human Service,Non profit organization,To provide a residential care services to adults with mental illness,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Lifechoices Inc,0,34024 W 8 MILE RD STE 101 FARMINGTON   MI 48335 ,27-2605174,marketing@evangelicalhomes.org,WWW.EVANGELICALHOMES.ORG,248-871-5024,Human Service,A faith-based organization  called to provide quality care with compassion to our clients regardless of where they live.,Our transformation from a nursing home provider to a senior living and care provider is a result of dedicated staff  purposeful stewardship  innovative programs and unique residences. Our organization has positioned itself for a future filled with opportunities to serve an even greater number of individuals in a variety of ways  including an array of home-based services and programs.,You made a difference! You will continue to make a difference!,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/EHMSeniorSolutions/,NA,NA,NA,03/12/2018,
YWCA of Greater Flint,0,801 S SAGINAW ST FLINT  MI 48502 ,38-1360597,info@ywcaflint.org,WWW.YWCAFLINT.ORG,810-238-7621,Human Service,The YWCA is the oldest and largest multicultural womens organization in the world. Across the globe  we have more than 25 million members in 122 countries  including 2 million members in 300 local associations in the United States. More important than the numbers  is our mission to eliminate racism and empower women. We provide safe places for women and girls  build strong women leaders  and advocate for womens rights and civil rights in Congress.,24-hour crisis line provides trained advocates that are able to answer questions  provide information and referrals  assist survivor in accessing other YWCA services and begin the intake process for SafeHouse for those in need of safe shelter.,Volunteer Opportunities The Domestic Violence & Sexual Assault Services department recognizes the contribution that volunteers make to the success of our agency. With the assistance of dedicated volunteers  we are able to continue our mission of empowering women and their children in their efforts to live violence free. The YWCA utilizes volunteers in a variety of ways throughout our program areas  including SafeHouse  Victim Advocacy  Emergency Response Team and Administrative support. Volunteer Advocate positions are required to participate in a 40-hour training before providing direct services to our clients.,Photo save,NA,810-238-7233,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ywcaflint/events/?ref=page_internal,YWCA of Greater Flint does not have any upcoming events.,NA,NA,03/12/2018,
Programs To Educate All Cyclists,0,32 N WASHINGTON ST STE 1 YPSILANTI  MI 48197 ,75-3159584,NA,NA,NA,Human Service,PROGRAMS TO EDUCATE ALL CYCLISTS IS DEDICATED TO EMPOWERING INDIVIDUALS WITH DISABILITIES THROUGH CYCLING.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Caring House Inc,0,1305 PROSPECT AVE IRON MOUNTAIN   MI 49801 ,38-2471981,NA,NA,906-774-1337,Human Service,TO PROMOTE A VIOLENCE FREE ATMOSPHERE FROM DOMESTIC AND SEXUAL VIOLENCE IN WHICH SURVIVORS CAN RECOGNIZE THEIR OPTIONS TO HAVE THE OPPORTUNITY TO CONTINUE LIVING VIOLENCE FREE AND REGAIN THEIR SENSE OF SELF-WORTH, TO EDUCATE AND RAISE AWARENESS WITHIN THE COMMUNITY THAT DOMESTIC AND SEXUAL VIOLENCE IS A PREVALENT PROBLEM, AND TO PROVIDE ON-GOING PREVENTION PROGRAMS FOR SURVIVORS OF DOMESTIC AND SEXUAL VIOLENCE.,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,NA,
Community Coordinated Child Care Association of the Upper Peninsula,0,104 COLES DR STE F MARQUETTE  MI 49855 ,38-2531502,greatstarttoquality@ecic4kids.org,WWW.4C-UP.COM,906-228-3362,Human Service,Great Start to Quality is Michigans quality rating and improvement system (QRIS) that supports early childhood programs and providers in their efforts to improve their programs. We also help Michigan families find and choose quality child care programs that meet their childrens needs. ,Great Start to Quality is made up of five categories of program quality indicators  aligned with Michigans Early Childhood Standards of Quality for Infant and Toddler Programs and Early Childhood Standards of Quality for Prekindergarten. These program quality indicators are used to rate child care and preschool programs to ensure Michigan???s youngest children have high-quality early learning experiences. Great Start to Quality also offers local Resource Centers in each region. These Resource Centers are a part of Great Start to Quality System and help providers with training and families with their child care search.  The Michigan Department of Education - Office of Great Start is the lead agency with funding from the federal Child Care Development Block Grant.  The Early Childhood Investment Corporation  an independent and publicly-owned nonprofit organization  is directly responsible for the implementation of Great Start to Quality.,NA,Photo save,8164 Executive Court  Suite A Lansing  Michigan,877-614-7328,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/greatstarttoquality/,NA,NA,NA,03/12/2018,
Arc of Western Wayne County Inc,0,2257 S WAYNE RD WESTLAND   MI 48186 ,38-1555472,NA,WWW.THEARCWW.ORG,734-729-9100,Human Service,The Arc of Western Wayne County advocates for the rights and full participation of all children and adults withintellectual and developmental disabilities.,THE ARC OF WESTERN WAYNE COUNTY IS COMMITTED TO ADVOCATING FOR INCLUSION AND FULL PARTICIPATION OF CHILDREN AND ADULTS WITH INTELLECTUAL AND OTHER DEVELOPMENTAL DISABILITIES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thearcofwesternwaynecounty/,Alzheimer???s Disease and People with Intellectual Disabilities  March 29 @ 6:30 pm - 8:30 pm   10218 Arthur St. Livonia  MI 48150 United States ,After I???m Gone- Home & Community Based Services  April 12 @ 6:30 pm - 8:30 pm   10218 Arthur St. Livonia  MI 48150 United States ,Getting the Most out of Mental Health Services  April 26 @ 6:30 pm - 8:30 pm   10218 Arthur St. Livonia  MI 48150 United States ,03/12/2018,
ALTERNATIVES OF KALAMAZOO CRISES PREGNANCY CENTER,0,4200 W Michigan Ave Ste 100 Kalamazoo  MI 49006 USA,38-2850563,NA,www.pregnancychoices.com,269-345-1740,Human Service,Non profit organization,Alternatives is a non-profit  faith based  pro-life 503(c)3 located in Kalamazoo  MI. Alternatives mission is to promote the value of human life by serving the unborn and their families through the love of Jesus Christ. Alternatives stives to provide testing  education  and material support while caring for the physical  emotional and spiritual needs of women  men and families within our community.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
NEW DAY FOUNDATION FOR FAMILIES,0,414 S. Main Street Suite 205 Rochester  MI 48307 USA,26-0609040,jo@newdayff.org,www.FoundationforFamilies.org,248-330-0471,Human Service,New Day Foundation for Families is a 501c3 non-profit created to bring financial stability and profound hope to cancer patients and their families.,"New Day was founded in 2007 by Michael and Gina Spehn who both had young children when they lost their spouses to cancer in their thirties (read their story in the NY Times Bestseller ""The Color of Rain""). We are served by a diverse Board of Directors  Advisory Board  and committed volunteer staff.",Sponsorship Opportunities We love our sponsors and donors! You are the life and hope of New Day!  New Day is committed to planning first class events for which you can be proud to attach your name. Please review our menu of sponsorships opportunities for the year and consider the value of bringing hope and help to families fighting cancer  all while having fun and connecting with community. This year we have three events hosted by a third party*??? in other words  no cost to New Day. This means 100% of your sponsorship dollar will go directly to families fighting cancer.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FoundationForFamilies,Happy Hour for Hope  Thursday  April 19 at 5 PM - 8 PM EDT,NA,NA,03/12/2018,
Michigan Alliance - Pti,0,1325 S WASHINGTON AVE LANSING  MI 48910 ,26-4301786,NA,www.michiganallianceforfamilies.org,NA,Human Service,Michigan Alliance for Families  is a statewide resource to connect families of children with disabilities to resources to help improve their children???s education.  We help facilitate parent involvement as a means of improving educational services and outcomes for students with disabilities.,Michigan Alliance for Families provides information  support  and education for families who have children (birth through 26 years of age) who receive (or may be eligible to receive) special education services. This website can help you with finding information on special education issues as well as disability specific information.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/MichiganAllianceForFamilies/,March 26 in Waterford  10am-12pm  ,March 27 in Otsego   6:30-8pm.  ,March 28 in Kalamazoo   8:30am-5pm.,03/12/2018,
Young Men in Transition Inc,0,440 BURROUGHS-BOX 24 DETROIT  MI 48202 ,80-0282278,NA,www.ymwit.org,313-585-0067,Human Service,Young Men & Women In Transition (YMWIT)  is a non-profit organization providing services to at-risk youth and families.,The mission of Young Men & Women In Transition  Inc. is to transform young men and women into productive citizens primarily through structured mentoring  academic coaching and social skills training that will enhance and develop character and encourage accountability  integrity  dignity  honesty  excellence  positive attitude  self respect and respect for others.,NA,Photo save,NA,313-818-0044,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ymwit/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Charlottes Care,0,465 Plum St Wyandotte  MI 48192 ,38-2868924,NA,NA,NA,Human Service,Non profit organization,To provide a round the clock care to adults with mental illness.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Lenawee Transportation Corp,0,135 E Maumee St Adrian  MI 49221 ,38-2239209,cityhall@adrianmi.gov,www.adriancity.com,517-264-4849,Human Service,Adrian is an all-around great place for adults to live and children to grow up; with its elite schools and its thriving cultural scene  including the historic Croswell Opera House. ,LINE HAUL TRANSPORTATION SYSTEM FOR USE BY THE GENERAL PUBLIC AND HANDICAPPED INDIVIDUALS IN THE COUNTY OF LENAWEE,NA,Photo save,NA,517-263-2161,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/CityofAdrian/about/?ref=page_internal,2nd Annual Great Lakes Woodworking Festival  Sunday  May 6 at 12 PM - 6 PM EDT  2300 N. Adrian Hwy  Adrian  Michigan 49221,2018 E-race the Stigma 5k  Sunday  May 20 at 9 AM - 12 PM EDT  115 Toledo St  Adrian  Michigan 49221,NA,03/12/2018,
