organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
Science With the Engineers,0,"7535 RIVER STONE CT CLARKSTON , MI 48348",45-2697974,NA,www.sciencewiththeengineers.com,248-292-3581 ,Youth Development,Nonprofit Organization,Charity providing a hands-on approach that brings science and engineering into the elementary school classroom.,Individual volunteers from industry and scientific professionals encourage students to work as teams and learn about rewarding careers in engineering and science. ,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Future Farmers of America State Associations & Local Chapter,0,"11090 NASHVILLE HWY VERMONTVILLE , MI 49096",48-1295488,NA,NA,NA,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Michigan State University DESPARADOS 4-H CLUB,0,"570 MARSHALL RD STE C COLDWATER, MI 49036",51-0570439,paolabs@anr.msu.edu,www.msue.anr.msu.edu,517-279-6419,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
Michigan State University BARNYARD BUNCH 4-H CLUB,0,"14485 NORTHLAND DR BIG RAPIDS , MI 49307",51-0599356,msue.mecosta@county.msu.edu,www.msue.anr.msu.edu,231-592-0130,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,231-775-9942,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
Success Media Arts Inc,0,"16179 OXLEY RD APT 102 SOUTHFIELD, MI 48075",47-4551081,NA,NA,NA,Youth Development,Advocacy Organizations,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
COVENANT ACADEMIES FOUNDATION,0,"125 CATHERINE AVE MUSKEGON, MI 49442",47-5613722,jvanbergen@mcovenantacademy.org,www.mcovenantacademy.org,231-720-3100,Youth Development,"The Covenant Academies Foundation (CAF) serves to prevent youth homelessness and youth incarceration by providing educational opportunities and other services, including residential, to dropout, homeless, at-risk and disenfranchised youth.","Muskegon Covenant Academy believes that by providing this educational foundation for our youth, we can help prevent poverty, homelessness, youth incarceration and underachievement.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/muskegoncovenantacademy/?ref=bookmarks,NA,NA,NA,12/03/2017,
Harbor Shores Sport Athletic Outreach,0,"717 SAINT JOSEPH DR SAINT JOSEPH, MI 49085",47-4504293,NA,NA,NA,Youth Development,Charitable and Educational Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-PF.,NA,NA,NA,NA,12/03/2017,
Detroit Youth Volume,0,"4216 3RD ST DETROIT, MI 48201",47-1772645,detroityouthvolume@gmail.com,www.detroityouthvolume.org,313-556-1834,Youth Development,Making Suzuki violin accessible to youth from Capuchin Soup Kitchen since 2010.,"We believe our student deserve the best. We teach a high-quality, internationally-renowned way of learning called the Suzuki method. Things like weekly private lessons, group class, and parent participation (during lessons as well as daily home-practice) set the Suzuki method apart from other pedagogies. Suzuki sets students up for success and happiness.","We rely on a base of individual donors, grant-providers and annual fundraisers to support the work of our organization. All donations are tax deductible??? and should be addressed to our fiscal sponsor Allied Media Projects.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/DetroitYouthVolume/about/?ref=page_internal,NA,NA,NA,12/03/2017,
Tmp Development Services Inc detroit,0,"2051 ROSA PARKS BLVD STE 1 B DETROIT, MI 48216",47-3901539,NA,NA,NA,Youth Development,Charitable and Educational Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Jump Fresh Youth Academy,0,"1316 S WARREN AVE SAGINAW, MI 48601",47-1779463,NA,NA,989-501-0138,Youth Development,Nonprofit Organization,Jump Fresh Youth Academy is a dance program to help youth in the community to find confidence in expressing themselves in a positive manner through dance.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/JumpFreshYouthAcademy/,NA,NA,NA,12/03/2017,
Friends of St Nick,0,"PO BOX 814 Norwood, MA 02062",47-4003438,friendsofstnick@gmail.com,www.friendsofstnick.org,781-762-0042,Youth Development,"The Friends of St Nick was formed by a group of friends in 1992 with dual purpose of honoring those people who have served the town of Norwood and its citizens, while at the same time, raising support for the Dana Farber Cancer Institute. We unashamedly borrowed the concept from our friends in Walpole, the Friends of St. Patrick.","We unashamedly borrowed the concept from our friends in Walpole, the ???Friends??? of St. Patrick and Christopher Columbus. With each passing year, we hope to strengthen the ties that bind our groups together.",NA,Photo save,"70105 CRYSTAL DR RICHMOND, MI 48062",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/FriendsOfStNick/,NA,NA,NA,12/03/2017,
BUSSEY BRYANT FOUNDATION,0,"6 PARKLANE BLVD STE 436 DEARBORN, MI 48126",47-3992626,NA,NA,313-410-6741,Youth Development,Charitable and Educational Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Soaring Above Ionia,0,"410 W MAIN ST IONIA, MI 48846",47-3533577,NA,www.soaringaboveionia.org,616-523-4570,Youth Development,"We are looking for Partners to help us create and sustain a wholesome place for teens to hangout, get off the streets, and be safe in a drug-free environment.","The Soaring Above Ionia Teen Center is to provide a safe, caring and loving environment with one goal Leave no child behind","Game room includes pool tables, foosball tables, air hockey, darts, Pengo arcade game, Wii, games and more, Snack provided daily, Tuesday has specific topics for discussion, Every other Wednesday has a different craft project, Every Thursday is tournament day, challenge changes each week, prize awarded to winner, Homework rescue, Mentoring, Leadership",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/ionia.chamber.commerce/videos/10155449738463762/,"Movie night , 1st Friday of each month, 6:00 pm-8:00 pm",NA,NA,12/03/2017,
Pine River Area Creativity Club,0,"207 LAURA JUNE DR LEROY, MI 49655",47-1495544,NA,NA,NA,Youth Development,Nonprofit Organization,We provide the opportunity for Pine River students in elementary through high school to participate in Destination Imagination.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/PineRiverAreaCreativityClub/about/?ref=page_internal,NA,NA,NA,12/03/2017,
Btr Collegiate Solutions Inc,0,"201 VICTORIAN LN BELLEVILLE, MI 48111",47-2530885,btrsolutions@yahoo.com,www.btrcollegiateseminars.com,888-213-8016,Youth Development,we have been planting seeds to address many areas that affect the youth of Detroit in a negative way.  We all have a role to play in the success of future generations.,"Alliance/Advocacy OrganizationsAt BTR Solutions, our personal charge is to determine ways to expose young people to the world outside of their neighborhoods.  We strongly believe that dreaming of ""different"" is easier when you see that it exists.  It is important that all organizations look for opportunities to partner and work toward nurturing the seeds to healthy maturity, reaping the benefits for many generations to come. ","Your generous donation purchases a complete 12 Tower Garden for a school or organization of your choice.  This purchase is inclusive of all necessary supplies for more than 6 months (minus seeds).  Moreover, the sale of the produce can sustain this program for many years to come.",Photo save,"PO BOX 145269, CORAL GABLES, FL 33114, USA",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Collegiate-Retention-Seminars-1463934523890886/,NA,NA,NA,12/03/2017,
MICHIGAN STATE UNIVERSITY A STEP AHEAD 4-H CLUB,0,"775 BALL AVE NE GRAND RAPIDS, MI 49503",52-2446247,kent@county.msu.edu,www.msue.anr.msu.edu,616-632-7865,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,616-632-7881,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
Michigan State University MIDNIGHT RIDERS,0,"S904 US Highway 41 Stephenson , MI 49887",52-2416581,putnampa@anr.msu.edu,www.msue.anr.msu.edu,906-753-2209,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
Michigan State University SO FINE EQUINE,0,"605 N SAGINAW ST STE 1A FLINT , MI 48502",56-2461431,msue.genesee@county.msu.edu,www.msue.anr.msu.edu,810-244-8500,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,810-244-8531,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
Michigan State University LUCKY CLOVERS 4-H CLUB,0,"219 E PAW PAW ST STE 201 PAW PAW , MI 49079",56-2494201,msue.vanburen@county.msu.edu,www.msue.anr.msu.edu,269-657-8200,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,269-657-8253,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/03/2017,
NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/03/2017,
Hand Up Fund,0,"703 MADISON AVE SE GRAND RAPIDS, MI 49503",47-1057919,handupfund@gmail.com,www.thehandupfund.org,616.437.4167,Youth Development,"The West Michigan Miracle League is a special baseball league for children with mental and physical disabilities.   For almost all of our athletes, the Miracle League is their only opportunity to be on an organized sports team, to receive their own jersey, and to invite their friends and family to watch them play. ","To give West Michigan youth a ???hand up??? by connecting them with resources, opportunities and programs which facilitate personal growth.","Join us for our kid???s mini-tri  and the adult sprint, olympic, and olympic tri relay distances at Millennium Park, in Grand Rapids, Michigan.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/events/424915057893500,NA,NA,NA,12/03/2017,
Leaders Empowering Area Partnerships,0,"3250 W BIG BEAVER RD STE 514 TROY, MI 48084",47-2057040,NA,NA,248-850-2298,Youth Development,"Altaflux Corporation, is a global business and technology consulting services firm specializing in the implementations, data migrations, integrations and support of Cloud Applications (SAP SuccessFact",Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Reaching Out To Others Community Center,0,"36841 BLANCHARD BLVD APT 304 FARMINGTON, MI 48335",47-2004677,NA,NA,NA,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,12/03/2017,
Hanley Harper Group Foundation,0,"20542 HARPER AVE HARPER WOODS, MI 48225",47-3322789,info@hanleyharpergroup.com,www.hanleyharpergroup.com,313-347-0026,Youth Development,We are Educational Service Provider.,"They immigrated in traditional ways ??? mother/daughter, first, then later father reunited with the family.  As with many Polish families immigrating to the United States, then Michigan, the Obie family settled in Hamtramck.  It did not take long for them to realize the abundance of opportunity the United States and Michigan, specifically, offered them ??? endless opportunities to impact their new surroundings in lasting ways.","becoming a part of our growing, dynamic, values-driven organization",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/hanleyharpergroup,NA,NA,NA,12/03/2017,
Josephine Bibbs Vision of Hope Outreach,0,"1513 KENT ST FLINT, MI 48503",47-1348832,NA,NA,810-234-8212,Youth Development,Nonprofit Organization,"Eye Diseases, Blindness and Vision Impairments",NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Youth Entrepreneur Services Foundation Inc,0,"29193 NORTHWESTERN HWY 690 SOUTHFIELD, MI 48034",47-2282428,info@yesfoundationinc.org,www.yesfoundationinc.org,888-674-4937,Youth Development,The Youth Entrepreneur Services Foundation is a Michigan based 501(c)(3) non-profit whose mission is to promote youth entrepreneurship through education and mentoring in under served communities.,"Youth Development Programs, MENTORING, STRONG COMMUNITIES",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/The-YES-Foundation-292202300903742/,NA,NA,NA,12/03/2017,
J Marie Sisterhood Incorporated,0,"11250 COURVILLE ST DETROIT, MI 48224",47-2240242,jmariesisterhood@yahoo.com,www.jmariesisterhood.com,586-335-6277,Youth Development,Our mission is to inspire and empower teen girls towards being successful young women.,"Activities - Arts and crafts, vision boards, scrapbooks, book club meetings and cooking lessons. Field Trips - To local museums, theaters and
restaurants. Community outreach - Giving back to local 
charities and children in the community. Workshops - nutrient, interviewing skills, dressing for success, careers and money management.",NA,Photo save,"18530 Mack Ave. #328 Grosse Pte Farms, MI 48236",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/JSisterhood/about/?ref=page_internal,NA,NA,NA,12/03/2017,
The Jewel Continuum Foundation Nonprofit Corporation,0,"22200 W 11 MILE RD UNIT 2412 SOUTHFIELD, MI 48037",47-3295822,jewelcontinuumfoundation@gmail.com,www.jewelcontinuumfoundation.com,NA,Youth Development,Nonprofit Organization,The Jewel Continuum Foundation places all of our efforts on the academic advancement of children in grade school throughout high school.,All donation proceeds will benefit our scholarship fund.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/southfieldalphas.org,NA,NA,NA,12/03/2017,
Sisters with Extremely Amazing Purpose,0,"19793 GOULBURN ST DETROIT, MI 48205",46-4975738,NA,www.iamsweap.com,NA,Youth Development,Nonprofit Organization,"Mentoring,Counseling,Recreation,andEducation.We strive to build up overcomers,break through life's struggles,and focus on our purpose. Ages7-25",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/iamsweap/about/?ref=page_internal,NA,NA,NA,12/03/2017,
Cheboygan County Riders,0,"6764 N M 33 HWY CHEBOYGAN, MI 49721",46-4988737,steve@cheboygancounty.net,www.cheboygancounty.net/community-development-10,231-627-8489,Youth Development,Nonprofit Organization,"The County Administrator is appointed by the Board of Commissioners to serve as the Chief Administrative Officer, to implement Board policies, to supervise all functions that report to the Board of Commissioners, and to oversee the daily activities of the County. The County Administrator and support staff provide professional support, project management, and policy recommendations for the Board of Commissioners.",NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Sae Jong Camp,0,"PO BOX 3173 FARMINGTN HLS, MI 48333",46-5042790,info@saejongcamp.com,www.saejongcamp.com,802-487-0752,Youth Development,"Our mission is to provide all Korean-American children the opportunity to explore their Korean-American identities, learn about their Korean heritage, and make friendships to last a lifetime. ","Our camp provides an opportunity for campers to share their experiences with other campers and counselors who are able to encourage, support, and most importantly, empathize. We acknowledge each child as an individual who possesses unique and very personal life experiences as a Korean-American and/or adoptee.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/saejongcamp/about/?ref=page_internal,NA,NA,NA,12/03/2017,
Skillz 4 Life Inc,0,"1704 KENDALL ST SE GRAND RAPIDS, MI 49508",46-4910238,mharris@myskillz4life.org,NA,502-855-1271,Youth Development,"Intervention specialists for occupational, speech and physical therapy. Specialist in sensory integration, fine and gross motor development.","Our mission is to provide high quality services in disadvantaged neighborhoods. Helping kids, youth and adults build the skills necessary to succeed in schools, jobs and the community.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/myskillz4life.org/,"Skillz 4 Life IncBreakfast 4 EntrepreneursSkillz 4 Life IncNATuesday, March 6 201810 AM UTC+012001 West Broadway, 40203 LouisvilleYouth Development",NA,NA,12/03/2017,
Love Centers International Inc,0,"7853 AMBASSADOR DR SHELBY TWP, MI 48316",46-4942104,info@lovecenters.org,www.lovecenters.org,586-873-0378,Youth Development,"Empowering children around the world through the gifts music, dance and creative arts.","The Love Centers International mission is to establish a safe haven that empowers children using the gifts of music, dance, and creative arts. Our program is built and designed to bring love to hopeless children through the Love Centers plan for success.","Love Centers International is fully sustainable due to corporate and individually sponsored programs. Through monthly and annual partnerships, financial support allows children to have opportunity with musical lessons, and dance, art, and theater classes locally. Financial support allows us to maintain international efforts by providing instruments and supplies in our established safe havens worldwide. In order to adequately fulfill our mission statement, Love Centers also acquires support through various fundraising events.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/LoveCentersInternational,NA,NA,NA,12/03/2017,
Kids On the Move Organization,0,"1509 N MCEWAN ST CLARE, MI 48617",46-4716071,NA,NA,NA,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Downriver Autism Alliance,0,"1837 ELECTRIC ST WYANDOTTE, MI 48192",47-1859632,NA,NA,734-818-6305,Youth Development,"Monster Decks is a privately held company in Wyandotte, MI and is a business. Categorized under Home Builders.",NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/03/2017,
Junebugs Mitten Mission,0,"2000 JORDAN RIVER RD ELMIRA, MI 49730",46-5540415,junebugsmittenmission@gmail.com,NA,NA,Youth Development,Nonprofit Organization,JuneBug's Mitten Mission is a community effort providing handmade gifts that serve to nurture the development of a child's self-worth AND to model grace & generosity through acts of kindness and the written word.,"you do helps us gather volunteers, resources and materials.  All it takes is getting excited about JuneBug! Telling others about what we have to offer by leading them to this blog will make our message clear and widespread.  Thank you in advance for growing the our network!",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/junebugsmittenmission/timeline,NA,NA,NA,12/04/2017,
Beyond the Corner,0,"20962 DEXTER BLVD WARREN, MI 48089",47-1056851,NA,NA,NA,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Siri Girls Inc,0,"PO BOX 211152 DETROIT, MI 48221",47-2168846,amosley@sirigirls.com,www.sirigirls.com,313-884-5606,Youth Development,"Siri Girls will help to generate inner respect, love and self-empowerment in young women and teen girls that are, or have been in dysfunctional and/or disadvantage lifestyles through positive, productive and beneficial environment.","To provide guidance and information to teen girls and young women that will help them to become healthier members of our society.  Siri Girls Inc., will encourage our girls to discover their talents and pursue their goals, while securing and maintaining financial independence.","YOU can help make a difference in the life of a girl through the gift of your time. Whatever your talents or interests maybe, consider sharing them with Siri Girls.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/SiriGirlsInc/about,NA,NA,NA,12/04/2017,
Hands On Boxing Association Inc,0,"16156 JAMES COUZENS FWY DETROIT, MI 48221",47-1290158,handsonboxingdetroit@gmail.com,NA,313-340-8889,Youth Development,Nonprofit Organization,"our program focuses on mentoring, respect, discipline, values and morals. Youth who participate in sports has a range of physical, emotional, and interpersonal benefits such as better vision, healthy weight, motor skills development, social skills development, self-confidence, ssportsmanship, fun and enjoyment and friendship.","All of your support goes towards making a difference, so every penny counts. We look forward to working together and changing the world.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/handsonboxing/,NA,NA,NA,12/04/2017,
Royal Oak Youth Assistance Program,0,"1601 N CAMPBELL RD ROYAL OAK, MI 48067",46-2751759,admin@royaloakyouthassistance.com,www.royaloakyouthassistance.com,248-546-8282,Youth Development,Recognize outstanding young citizens who have demonstrated a genuine concern for others and their community.,"The mission of Royal Oak Youth Assistance is to strengthen youth and families, and to reduce the incidence of delinquency, abuse and neglect through community involvement.","Youth assistance volunteers represent many different aspects of our community. Business people, school personnel, representatives from service agencies and concerned citizens are all members of Royal Oak Youth Assistance. That???s what makes us responsive to the needs of our community.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Royal-Oak-Youth-Assistance-244919960597/events/?ref=page_internal,"Royal Oak Youth Assistance Bowl-a-thon, Sunday, March 4 2018, 12 PM - 3 PM EST, 24211 Hughes Ave, Hazel Park, Michigan 48030",NA,NA,12/04/2017,
Open Doors Center for Self-Directed Teens,0,"255 BRIARWOOD AVE SE GRAND RAPIDS, MI 49506",46-3184997,info@opendoorsforteens.org,www.opendoorsforteens.org,616.965.6968 ,Youth Development,"Open Doors Center for Self-Directed Teens is a safe, youth-driven community dedicated to supporting teens of all backgrounds as they engage in their interests, voice their dreams, explore their full potential and share the joy of learning.","Open Doors employs a model in which teens and adults work as a community to create a space that can meet the needs of teens in our area. Teens take an active role in making decisions, creating projects and developing programs of their own choosing, all based on their own passions and interests. Teens and adult leaders facilitate the process of turning these passions and interests into realities both within the center and in the Grand Rapids community at large.","We believe this offers a full opportunity to settle into non-coercive education, to make friends, and to try on self-directed learning to see if it is the best fit for you.",Photo save,"902 Leonard St. NW Grand Rapids, MI 49504",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/OpenDoorsForTeens,NA,NA,NA,12/04/2017,
Kingsley Community Fund,0,"421 SOUTH UNION STREET TRAVERSE CITY, MI 49684",46-1283155,NA,NA,NA,Youth Development,NA,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Note By Note International Music Services,0,"29820 TELEGRAPH RD SOUTHFIELD, MI 48034",46-1403959,jgreenawalt@pmpcoach.com,www.pmpcoach.com,248-809-3961,Youth Development,transforming organizations through personal growth,"we have had the privilege to serve hundreds of organizational leaders and management teams in diverse organizations across The U.S and Europe. These people work in a wide array of industries; manufacturing, financial service, agriculture, education & government to name a few.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Your College and Educational Consulting,0,"23680 BOHN RD BELLEVILLE, MI 48111",46-3333062,NA,NA,NA,Youth Development,NA,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
